claim_id,description,actual_severity,filing_date
CLM00045,Hit and run while parked on 246 days ago at Somerville Plaza. 2019 Hyundai Elantra has significant damage to passenger side. Witnesses provided partial plate number.,Medium,2025-02-01
CLM00046,Small dent from hail storm on 07/20/2025. 2020 Subaru Outback parked at Brookline Mall. fender affected.,Low,2025-07-20
CLM00047,"Shopping cart dent on trunk at Boston shopping center on August 21, 2025. 2021 Volvo XC90. Superficial damage only.",Low,2025-08-21
CLM00048,Side-swiped on highway near Cambridge on 07/13/2025. 2019 Honda Accord has damage to rear bumper and passenger side. Other driver cited for unsafe lane change.,Medium,2025-07-13
CLM00049,Small dent from hail storm on 265 days ago. 2019 Infiniti Q50 parked at Springfield Parking Garage. tail light affected.,Low,2025-01-13
CLM00050,"Hit and run while parked on December 10, 2024 at Worcester Plaza. 2021 Tesla Model 3 has significant damage to side mirror. Witnesses provided partial plate number.",Medium,2024-12-10
CLM00051,"Bird damage to paint on hood on 08/06/2025. 2018 Dodge Ram. Etching visible, needs touch-up.",Low,2025-08-06
CLM00052,Windshield chip from road debris on 05/10/2025 while driving on Washington Blvd. 2018 Dodge Ram. Small chip needs repair before it spreads.,Low,2025-05-10
CLM00053,Small dent from hail storm on 02/15/2025. 2022 Mercedes-Benz C-Class parked at Springfield Plaza. windshield affected.,Low,2025-02-15
CLM00054,Windshield chip from road debris on 38 days ago while driving on Union Street. 2021 Volvo XC90. Small chip needs repair before it spreads.,Low,2025-08-28
CLM00055,Small dent from hail storm on 33 days ago. 2019 Nissan Altima parked at Malden Shopping Center. hood affected.,Low,2025-09-02
CLM00056,Small dent from hail storm on 132 days ago. 2020 Lexus RX parked at Newton Parking Garage. quarter panel affected.,Low,2025-05-26
CLM00057,Small dent from hail storm on 02/26/2025. 2020 Lexus RX parked at Lynn Shopping Center. rear bumper affected.,Low,2025-02-26
CLM00058,Windshield chip from road debris on 09/16/2025 while driving on Pine Road. 2021 Tesla Model 3. Small chip needs repair before it spreads.,Low,2025-09-16
CLM00059,Small dent from hail storm on 10/22/2024. 2019 Hyundai Elantra parked at Malden Plaza. side mirror affected.,Low,2024-10-22
CLM00060,"Tree fell on 2020 Chevrolet Silverado during severe storm on 339 days ago at 7388 Washington Blvd, Waltham. Roof crushed, all windows broken. Vehicle not drivable. Major structural damage. Storm damage claim.",High,2024-10-31
CLM00061,"Minor bumper contact in parking garage on July 24, 2025. 2019 Hyundai Elantra. Both parties exchanged information.",Low,2025-07-24
CLM00062,"Multi-vehicle pileup on 52 days ago on highway near Quincy. 2018 Jeep Wrangler sandwiched between two vehicles. Damage to front and rear including rear bumper, fender, windshield. Major traffic incident with police investigation ongoing.",High,2025-08-14
CLM00063,Windshield chip from road debris on 20 days ago while driving on Union Street. 2019 Hyundai Elantra. Small chip needs repair before it spreads.,Low,2025-09-15
CLM00064,"Small scratch along rear bumper noticed on October 02, 2025. Unknown cause. 2020 Chevrolet Silverado parked at Somerville Plaza.",Low,2025-10-02
CLM00065,Tire damage from pothole on Forest Drive on 08/11/2025. 2020 Subaru Outback. Tire needs replacement.,Low,2025-08-11
CLM00066,Minor parking lot incident on 45 days ago. Small scratch on side mirror of my 2021 Volkswagen Jetta. No injuries. Other party left contact information.,Low,2025-08-21
CLM00067,Small scratch along rear bumper noticed on 02/22/2025. Unknown cause. 2020 Toyota Camry parked at Lynn Parking Garage.,Low,2025-02-22
CLM00068,"URGENT: House fire at 8995 Church St, Providence on 252 days ago. Kitchen completely destroyed. Smoke and fire damage throughout first floor. Estimated damage $100,000. Fire department report available. Family displaced.",High,2025-01-26
CLM00069,Minor parking lot incident on 130 days ago. Small scratch on rear bumper of my 2022 BMW X5. No injuries. Other party left contact information.,Low,2025-05-28
CLM00070,"Bird damage to paint on hood on 93 days ago. 2021 Mazda CX-5. Etching visible, needs touch-up.",Low,2025-07-04
CLM00071,"Bird damage to paint on hood on 06/03/2025. 2020 Chevrolet Silverado. Etching visible, needs touch-up.",Low,2025-06-03
CLM00072,Small scratch along rear bumper noticed on 03/19/2025. Unknown cause. 2022 Mercedes-Benz C-Class parked at Boston Shopping Center.,Low,2025-03-19
CLM00073,"URGENT: Major collision on October 31, 2024 at Cedar Lane and School Road in Somerville. My 2019 Audi A4 was hit by driver who ran red light. Extensive damage to quarter panel, hood, and trunk. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2024-10-31
CLM00074,"Tire damage from pothole on Lake Street on February 24, 2025. 2018 Jeep Wrangler. Tire needs replacement.",Low,2025-02-24
CLM00075,Small dent from hail storm on 08/04/2025. 2020 GMC Sierra parked at Waltham Mall. driver side door affected.,Low,2025-08-04
CLM00076,"Vehicle struck by falling branch during storm on May 04, 2025. 2020 Chevrolet Silverado has damage to trunk and windshield. Tree maintenance company notified.",Medium,2025-05-04
CLM00077,Vehicle damaged by shopping cart blown by wind on 05/08/2025. 2019 Hyundai Elantra has dents on rear bumper. Security footage available.,Medium,2025-05-08
CLM00078,Small scratch along rear bumper noticed on 312 days ago. Unknown cause. 2020 Kia Sorento parked at Somerville Shopping Center.,Low,2024-11-27
CLM00079,"Tire damage from pothole on Pleasant St on April 16, 2025. 2020 Toyota Camry. Tire needs replacement.",Low,2025-04-16
CLM00080,"Shopping cart dent on fender at Quincy shopping center on May 28, 2025. 2020 Subaru Outback. Superficial damage only.",Low,2025-05-28
CLM00081,"Bird damage to paint on hood on 07/11/2025. 2022 Acura MDX. Etching visible, needs touch-up.",Low,2025-07-11
CLM00082,Hit and run while parked on 09/09/2025 at Brookline Plaza. 2021 Volkswagen Jetta has significant damage to front bumper. Witnesses provided partial plate number.,Medium,2025-09-09
CLM00083,Side-swiped on highway near Quincy on 07/04/2025. 2018 Ford F-150 has damage to windshield and trunk. Other driver cited for unsafe lane change.,Medium,2025-07-04
CLM00084,"Bird damage to paint on hood on 349 days ago. 2021 Mazda CX-5. Etching visible, needs touch-up.",Low,2024-10-21
CLM00085,Windshield chip from road debris on 194 days ago while driving on Highland Ave. 2022 Mercedes-Benz C-Class. Small chip needs repair before it spreads.,Low,2025-03-25
CLM00086,"Devastating hail storm on 05/21/2025 damaged 2020 Kia Sorento and property. Multiple dents across hood, roof, and trunk. Windows cracked. Vehicle requires extensive repairs. Storm damage assessment needed.",High,2025-05-21
CLM00087,"Windshield chip from road debris on March 08, 2025 while driving on Church St. 2019 Nissan Altima. Small chip needs repair before it spreads.",Low,2025-03-08
CLM00088,Minor bumper contact in parking garage on 09/09/2025. 2020 Toyota Camry. Both parties exchanged information.,Low,2025-09-09
CLM00089,"Bird damage to paint on hood on 202 days ago. 2020 Subaru Outback. Etching visible, needs touch-up.",Low,2025-03-17
CLM00090,"Total loss - 2020 Lexus RX completely submerged during flooding on Church St near Lynn on January 27, 2025. Water reached dashboard level. Engine and interior destroyed. Vehicle not drivable. Towing required.",High,2025-01-27
CLM00091,Collision with deer on Pleasant St near Lowell on 227 days ago. 2022 Mercedes-Benz C-Class has front-end damage including windshield and passenger side. Police report available.,Medium,2025-02-20
CLM00092,Shopping cart dent on rear bumper at Medford shopping center on 122 days ago. 2021 Volkswagen Jetta. Superficial damage only.,Low,2025-06-05
CLM00093,Vehicle struck by falling branch during storm on 54 days ago. 2021 Volkswagen Jetta has damage to side mirror and windshield. Tree maintenance company notified.,Medium,2025-08-12
CLM00094,Fender bender on 31 days ago at Pine Road in Waltham. 2019 Hyundai Elantra damage to hood. Both drivers remained at scene.,Medium,2025-09-04
CLM00095,"Backed into pole in parking lot on 11/27/2024 at Malden Parking Garage. 2019 Nissan Altima has dent in headlight. My fault, estimated repair cost $3,500.",Medium,2024-11-27
CLM00096,Vehicle struck by falling branch during storm on 174 days ago. 2020 Lexus RX has damage to tail light and windshield. Tree maintenance company notified.,Medium,2025-04-14
CLM00097,Windshield chip from road debris on 05/11/2025 while driving on River Road. 2020 Chevrolet Silverado. Small chip needs repair before it spreads.,Low,2025-05-11
CLM00098,Severe accident on highway near Somerville on 37 days ago. 2021 Tesla Model 3 struck by semi-truck. Major damage to entire trunk side. Vehicle towed from scene. Hospital treatment required. Police report number RPT859095.,High,2025-08-29
CLM00099,Hit by opening car door on 321 days ago at Providence Plaza. Damage to headlight of my 2020 Chevrolet Silverado. Other party admitted fault.,Medium,2024-11-18
CLM00100,"Bird damage to paint on hood on 08/01/2025. 2021 Mazda CX-5. Etching visible, needs touch-up.",Low,2025-08-01
CLM00101,Collision with deer on Cedar Lane near Cambridge on 127 days ago. 2020 Kia Sorento has front-end damage including passenger side and windshield. Police report available.,Medium,2025-05-31
CLM00102,Small scratch along trunk noticed on 05/25/2025. Unknown cause. 2022 Acura MDX parked at Quincy Shopping Center.,Low,2025-05-25
CLM00103,Collision with deer on Park Ave near Hartford on 02/09/2025. 2019 Nissan Altima has front-end damage including trunk and quarter panel. Police report available.,Medium,2025-02-09
CLM00104,"Windshield chip from road debris on January 27, 2025 while driving on Oak Ave. 2019 Audi A4. Small chip needs repair before it spreads.",Low,2025-01-27
CLM00105,"Backed into pole in parking lot on 116 days ago at Medford Shopping Center. 2022 Acura MDX has dent in headlight. My fault, estimated repair cost $3,500.",Medium,2025-06-11
CLM00106,Windshield chip from road debris on 169 days ago while driving on Summer St. 2021 Tesla Model 3. Small chip needs repair before it spreads.,Low,2025-04-19
CLM00107,"Bird damage to paint on hood on 319 days ago. 2022 BMW X5. Etching visible, needs touch-up.",Low,2024-11-20
CLM00108,Tire damage from pothole on Washington Blvd on 269 days ago. 2020 Toyota Camry. Tire needs replacement.,Low,2025-01-09
CLM00109,"Collision with deer on Forest Drive near Worcester on March 19, 2025. 2020 Subaru Outback has front-end damage including passenger side and quarter panel. Police report available.",Medium,2025-03-19
CLM00110,Minor bumper contact in parking garage on 04/15/2025. 2020 Toyota Camry. Both parties exchanged information.,Low,2025-04-15
CLM00111,Minor bumper contact in parking garage on 338 days ago. 2021 Mazda CX-5. Both parties exchanged information.,Low,2024-11-01
CLM00112,Side-swiped on highway near Boston on 18 days ago. 2020 Chevrolet Silverado has damage to windshield and tail light. Other driver cited for unsafe lane change.,Medium,2025-09-17
CLM00113,Head-on collision on Broadway near Lynn on 07/26/2025. 2020 Toyota Camry sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.,High,2025-07-26
CLM00114,Collision with deer on Pleasant St near Somerville on 161 days ago. 2020 Kia Sorento has front-end damage including fender and fender. Police report available.,Medium,2025-04-27
CLM00115,"Bird damage to paint on hood on December 11, 2024. 2020 Lexus RX. Etching visible, needs touch-up.",Low,2024-12-11
CLM00116,Small scratch along hood noticed on 64 days ago. Unknown cause. 2020 Toyota Camry parked at Boston Parking Garage.,Low,2025-08-02
CLM00117,"URGENT: House fire at 2286 Spring St, Lynn on December 05, 2024. Kitchen completely destroyed. Smoke and fire damage throughout first floor. Estimated damage $100,000. Fire department report available. Family displaced.",High,2024-12-05
CLM00118,Windshield chip from road debris on 03/05/2025 while driving on Broadway. 2019 Honda Accord. Small chip needs repair before it spreads.,Low,2025-03-05
CLM00119,Tire damage from pothole on Cedar Lane on 35 days ago. 2021 Volkswagen Jetta. Tire needs replacement.,Low,2025-08-31
CLM00120,"Tire damage from pothole on Oak Ave on July 29, 2025. 2019 Nissan Altima. Tire needs replacement.",Low,2025-07-29
CLM00121,Broken passenger side discovered on 10/06/2024 at Malden Parking Garage. Likely vandalism while parked. 2020 GMC Sierra.,Low,2024-10-06
CLM00122,Broken front bumper discovered on 12/28/2024 at Lynn Mall. Likely vandalism while parked. 2022 BMW X5.,Low,2024-12-28
CLM00123,Minor bumper contact in parking garage on 253 days ago. 2019 Hyundai Elantra. Both parties exchanged information.,Low,2025-01-25
CLM00124,Broken hood discovered on 132 days ago at Medford Parking Garage. Likely vandalism while parked. 2022 Acura MDX.,Low,2025-05-26
CLM00125,Collision with deer on Summer St near Lowell on 06/17/2025. 2019 Honda Accord has front-end damage including fender and quarter panel. Police report available.,Medium,2025-06-17
CLM00126,"Backed into pole in parking lot on 01/06/2025 at Lynn Parking Garage. 2019 Infiniti Q50 has dent in hood. My fault, estimated repair cost $3,500.",Medium,2025-01-06
CLM00127,"Minor scrape on windshield while parking on January 02, 2025 at Springfield Plaza. 2019 Nissan Altima. Paint transfer visible.",Low,2025-01-02
CLM00128,Shopping cart dent on side mirror at Lowell shopping center on 02/22/2025. 2021 Tesla Model 3. Superficial damage only.,Low,2025-02-22
CLM00129,"Minor parking lot incident on December 09, 2024. Small scratch on front bumper of my 2021 Volkswagen Jetta. No injuries. Other party left contact information.",Low,2024-12-09
CLM00130,"Head-on collision on Forest Drive near Medford on December 09, 2024. 2018 Ford F-150 sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.",High,2024-12-09
CLM00131,Minor scrape on hood while parking on 06/11/2025 at Cambridge Plaza. 2019 Nissan Altima. Paint transfer visible.,Low,2025-06-11
CLM00132,Small scratch along headlight noticed on 04/10/2025. Unknown cause. 2019 Nissan Altima parked at Quincy Shopping Center.,Low,2025-04-10
CLM00133,Fender bender on 47 days ago at Cedar Lane in Hartford. 2019 Infiniti Q50 damage to side mirror. Both drivers remained at scene.,Medium,2025-08-19
CLM00134,"Severe accident on highway near Springfield on January 08, 2025. 2019 Audi A4 struck by semi-truck. Major damage to entire tail light side. Vehicle towed from scene. Hospital treatment required. Police report number RPT556868.",High,2025-01-08
CLM00135,Hit by opening car door on 231 days ago at Medford Parking Garage. Damage to headlight of my 2018 Dodge Ram. Other party admitted fault.,Medium,2025-02-16
CLM00136,Fender bender on 09/22/2025 at River Road in Somerville. 2020 Chevrolet Silverado damage to passenger side. Both drivers remained at scene.,Medium,2025-09-22
CLM00137,Severe accident on highway near Waltham on 01/18/2025. 2019 Hyundai Elantra struck by semi-truck. Major damage to entire passenger side side. Vehicle towed from scene. Hospital treatment required. Police report number RPT419073.,High,2025-01-18
CLM00138,Windshield chip from road debris on 04/17/2025 while driving on Church St. 2020 GMC Sierra. Small chip needs repair before it spreads.,Low,2025-04-17
CLM00139,Vehicle struck by falling branch during storm on 267 days ago. 2022 Acura MDX has damage to side mirror and windshield. Tree maintenance company notified.,Medium,2025-01-11
CLM00140,"Bird damage to paint on hood on June 11, 2025. 2018 Jeep Wrangler. Etching visible, needs touch-up.",Low,2025-06-11
CLM00141,Small scratch along tail light noticed on 183 days ago. Unknown cause. 2019 Nissan Altima parked at Hartford Shopping Center.,Low,2025-04-05
CLM00142,Minor collision at stoplight on 73 days ago. 2019 Honda Accord bumped from behind. Damage to side mirror.,Medium,2025-07-24
CLM00143,Vehicle struck by falling branch during storm on 03/08/2025. 2019 Honda Accord has damage to passenger side and windshield. Tree maintenance company notified.,Medium,2025-03-08
CLM00144,Rear-ended at intersection of Elm Street and Spring St in Hartford on 03/05/2025. My 2022 Mercedes-Benz C-Class sustained moderate damage to tail light. Police report filed.,Medium,2025-03-05
CLM00145,"Minor scrape on rear bumper while parking on December 08, 2024 at Waltham Shopping Center. 2020 GMC Sierra. Paint transfer visible.",Low,2024-12-08
CLM00146,"Tire damage from pothole on Washington Blvd on December 02, 2024. 2019 Audi A4. Tire needs replacement.",Low,2024-12-02
CLM00147,"URGENT: 2021 Mazda CX-5 stolen from Malden Plaza on January 15, 2025. Vehicle found abandoned three days later with severe damage. quarter panel and tail light destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.",High,2025-01-15
CLM00148,"Bird damage to paint on hood on 272 days ago. 2019 Nissan Altima. Etching visible, needs touch-up.",Low,2025-01-06
CLM00149,Small dent from hail storm on 109 days ago. 2019 Hyundai Elantra parked at Quincy Plaza. hood affected.,Low,2025-06-18
CLM00150,Small scratch along side mirror noticed on 01/16/2025. Unknown cause. 2021 Mazda CX-5 parked at Providence Mall.,Low,2025-01-16
CLM00151,Windshield chip from road debris on 09/13/2025 while driving on Church St. 2020 GMC Sierra. Small chip needs repair before it spreads.,Low,2025-09-13
CLM00152,Shopping cart dent on side mirror at Worcester shopping center on 05/27/2025. 2018 Jeep Wrangler. Superficial damage only.,Low,2025-05-27
CLM00153,"Minor bumper contact in parking garage on March 26, 2025. 2020 Lexus RX. Both parties exchanged information.",Low,2025-03-26
CLM00154,"Windshield chip from road debris on November 19, 2024 while driving on Summer St. 2020 Chevrolet Silverado. Small chip needs repair before it spreads.",Low,2024-11-19
CLM00155,Broken passenger side discovered on 45 days ago at Quincy Mall. Likely vandalism while parked. 2019 Infiniti Q50.,Low,2025-08-21
CLM00156,Hit and run while parked on 204 days ago at Somerville Plaza. 2022 Acura MDX has significant damage to quarter panel. Witnesses provided partial plate number.,Medium,2025-03-15
CLM00157,Tire damage from pothole on Summer St on 04/06/2025. 2022 Mercedes-Benz C-Class. Tire needs replacement.,Low,2025-04-06
CLM00158,Broken hood discovered on 06/29/2025 at Lowell Plaza. Likely vandalism while parked. 2021 Volkswagen Jetta.,Low,2025-06-29
CLM00159,"Small dent from hail storm on November 11, 2024. 2022 Mercedes-Benz C-Class parked at Cambridge Parking Garage. passenger side affected.",Low,2024-11-11
CLM00160,Hit and run while parked on 133 days ago at Waltham Plaza. 2021 Mazda CX-5 has significant damage to headlight. Witnesses provided partial plate number.,Medium,2025-05-25
CLM00161,Side-swiped on highway near Somerville on 11/01/2024. 2019 Honda Accord has damage to quarter panel and rear bumper. Other driver cited for unsafe lane change.,Medium,2024-11-01
CLM00162,"My 2019 Honda Accord was struck by drunk driver on December 07, 2024 at Lynn Shopping Center. Extensive damage to trunk, rear bumper, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2024-12-07
CLM00163,Shopping cart dent on hood at Quincy shopping center on 09/09/2025. 2022 Mercedes-Benz C-Class. Superficial damage only.,Low,2025-09-09
CLM00164,"Minor collision at stoplight on May 01, 2025. 2019 Honda Accord bumped from behind. Damage to quarter panel.",Medium,2025-05-01
CLM00165,"Bird damage to paint on hood on 245 days ago. 2022 Acura MDX. Etching visible, needs touch-up.",Low,2025-02-02
CLM00166,Small dent from hail storm on 224 days ago. 2018 Dodge Ram parked at Springfield Mall. tail light affected.,Low,2025-02-23
CLM00167,Broken passenger side discovered on 70 days ago at Boston Parking Garage. Likely vandalism while parked. 2020 Toyota Camry.,Low,2025-07-27
CLM00168,"URGENT: Major collision on 04/15/2025 at Hill Ave and River Road in Somerville. My 2019 Audi A4 was hit by driver who ran red light. Extensive damage to trunk, rear bumper, and trunk. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2025-04-15
CLM00169,"Minor parking lot incident on May 15, 2025. Small scratch on fender of my 2022 Acura MDX. No injuries. Other party left contact information.",Low,2025-05-15
CLM00170,"Fender bender on November 03, 2024 at Highland Ave in Worcester. 2020 Subaru Outback damage to fender. Both drivers remained at scene.",Medium,2024-11-03
CLM00171,"Windshield chip from road debris on November 07, 2024 while driving on Forest Drive. 2020 Kia Sorento. Small chip needs repair before it spreads.",Low,2024-11-07
CLM00172,Broken trunk discovered on 91 days ago at Cambridge Parking Garage. Likely vandalism while parked. 2019 Honda Accord.,Low,2025-07-06
CLM00173,"Total loss - 2019 Hyundai Elantra completely submerged during flooding on Forest Drive near Worcester on October 18, 2024. Water reached dashboard level. Engine and interior destroyed. Vehicle not drivable. Towing required.",High,2024-10-18
CLM00174,Vehicle struck by falling branch during storm on 07/28/2025. 2020 Kia Sorento has damage to side mirror and windshield. Tree maintenance company notified.,Medium,2025-07-28
CLM00175,Minor scrape on rear bumper while parking on 284 days ago at Waltham Mall. 2020 Lexus RX. Paint transfer visible.,Low,2024-12-25
CLM00176,"Minor scrape on hood while parking on July 26, 2025 at Medford Shopping Center. 2020 GMC Sierra. Paint transfer visible.",Low,2025-07-26
CLM00177,Tire damage from pothole on Lake Street on 05/27/2025. 2020 Subaru Outback. Tire needs replacement.,Low,2025-05-27
CLM00178,Rear-ended at intersection of Pine Road and Maple Drive in Brookline on 1 days ago. My 2019 Honda Accord sustained moderate damage to fender. Police report filed.,Medium,2025-10-04
CLM00179,Fender bender on 10/24/2024 at River Road in Springfield. 2019 Hyundai Elantra damage to side mirror. Both drivers remained at scene.,Medium,2024-10-24
CLM00180,"My 2019 Hyundai Elantra was struck by drunk driver on April 23, 2025 at Providence Plaza. Extensive damage to windshield, fender, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-04-23
CLM00181,Minor parking lot incident on 309 days ago. Small scratch on tail light of my 2020 Toyota Camry. No injuries. Other party left contact information.,Low,2024-11-30
CLM00182,Side-swiped on highway near Malden on 77 days ago. 2021 Volkswagen Jetta has damage to fender and front bumper. Other driver cited for unsafe lane change.,Medium,2025-07-20
CLM00183,"Minor scrape on trunk while parking on August 17, 2025 at Lynn Parking Garage. 2021 Tesla Model 3. Paint transfer visible.",Low,2025-08-17
CLM00184,"Shopping cart dent on tail light at Providence shopping center on January 07, 2025. 2020 GMC Sierra. Superficial damage only.",Low,2025-01-07
CLM00185,URGENT: 2019 Nissan Altima stolen from Boston Plaza on 140 days ago. Vehicle found abandoned three days later with severe damage. quarter panel and quarter panel destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.,High,2025-05-18
CLM00186,Shopping cart dent on front bumper at Cambridge shopping center on 122 days ago. 2020 Kia Sorento. Superficial damage only.,Low,2025-06-05
