claim_id,description,actual_severity,filing_date
CLM00029,Fender bender on 328 days ago at Park Ave in Providence. 2020 Subaru Outback damage to headlight. Both drivers remained at scene.,Medium,2024-11-11
CLM00030,Minor bumper contact in parking garage on 04/16/2025. 2021 Volkswagen Jetta. Both parties exchanged information.,Low,2025-04-16
CLM00031,"Bird damage to paint on hood on May 09, 2025. 2020 Chevrolet Silverado. Etching visible, needs touch-up.",Low,2025-05-09
CLM00032,"Hit and run while parked on September 15, 2025 at Boston Plaza. 2021 Volvo XC90 has significant damage to passenger side. Witnesses provided partial plate number.",Medium,2025-09-15
CLM00033,Small dent from hail storm on 06/03/2025. 2019 Audi A4 parked at Quincy Parking Garage. front bumper affected.,Low,2025-06-03
CLM00034,"Bird damage to paint on hood on 341 days ago. 2020 GMC Sierra. Etching visible, needs touch-up.",Low,2024-10-29
CLM00035,"Collision with deer on Washington Blvd near Newton on February 22, 2025. 2018 Ford F-150 has front-end damage including tail light and quarter panel. Police report available.",Medium,2025-02-22
CLM00036,"Tree fell on 2019 Audi A4 during severe storm on July 12, 2025 at 3232 Elm Street, Lynn. Roof crushed, all windows broken. Vehicle not drivable. Major structural damage. Storm damage claim.",High,2025-07-12
CLM00037,"Fender bender on July 03, 2025 at Elm Street in Springfield. 2022 Acura MDX damage to fender. Both drivers remained at scene.",Medium,2025-07-03
CLM00038,"Rear-ended at intersection of Park Ave and Cedar Lane in Waltham on May 08, 2025. My 2019 Honda Accord sustained moderate damage to side mirror. Police report filed.",Medium,2025-05-08
CLM00039,"Broken windshield discovered on April 26, 2025 at Somerville Plaza. Likely vandalism while parked. 2021 Tesla Model 3.",Low,2025-04-26
CLM00040,"Bird damage to paint on hood on 01/19/2025. 2018 Ford F-150. Etching visible, needs touch-up.",Low,2025-01-19
CLM00041,"Small dent from hail storm on June 24, 2025. 2019 Nissan Altima parked at Medford Plaza. rear bumper affected.",Low,2025-06-24
CLM00042,Minor collision at stoplight on 182 days ago. 2019 Hyundai Elantra bumped from behind. Damage to headlight.,Medium,2025-04-06
CLM00043,Tire damage from pothole on Summer St on 04/26/2025. 2019 Nissan Altima. Tire needs replacement.,Low,2025-04-26
CLM00044,"Bird damage to paint on hood on January 10, 2025. 2020 Kia Sorento. Etching visible, needs touch-up.",Low,2025-01-10
CLM00045,Hit and run while parked on 326 days ago at Waltham Shopping Center. 2019 Audi A4 has significant damage to passenger side. Witnesses provided partial plate number.,Medium,2024-11-13
CLM00046,Minor parking lot incident on 35 days ago. Small scratch on hood of my 2021 Mazda CX-5. No injuries. Other party left contact information.,Low,2025-08-31
CLM00047,"Rear-ended at intersection of Pine Road and Church St in Lowell on April 02, 2025. My 2020 Subaru Outback sustained moderate damage to fender. Police report filed.",Medium,2025-04-02
CLM00048,Minor bumper contact in parking garage on 258 days ago. 2022 Acura MDX. Both parties exchanged information.,Low,2025-01-20
CLM00049,"Minor bumper contact in parking garage on July 06, 2025. 2020 Toyota Camry. Both parties exchanged information.",Low,2025-07-06
CLM00050,"Broken side mirror discovered on May 11, 2025 at Waltham Shopping Center. Likely vandalism while parked. 2018 Ford F-150.",Low,2025-05-11
