claim_id,description,actual_severity,filing_date
CLM00067,"Hit by opening car door on June 12, 2025 at Boston Plaza. Damage to headlight of my 2019 Hyundai Elantra. Other party admitted fault.",Medium,2025-06-12
CLM00068,"Tire damage from pothole on Spring St on May 26, 2025. 2019 Nissan Altima. Tire needs replacement.",Low,2025-05-26
CLM00069,"Hit and run while parked on October 15, 2024 at Brookline Plaza. 2019 Hyundai Elantra has significant damage to side mirror. Witnesses provided partial plate number.",Medium,2024-10-15
CLM00070,"Hit and run while parked on February 16, 2025 at Brookline Parking Garage. 2020 Toyota Camry has significant damage to rear bumper. Witnesses provided partial plate number.",Medium,2025-02-16
CLM00071,"Broken front bumper discovered on October 23, 2024 at Somerville Parking Garage. Likely vandalism while parked. 2019 Infiniti Q50.",Low,2024-10-23
CLM00072,Small scratch along passenger side noticed on 06/28/2025. Unknown cause. 2019 Hyundai Elantra parked at Worcester Mall.,Low,2025-06-28
CLM00073,Windshield chip from road debris on 44 days ago while driving on Cedar Lane. 2018 Dodge Ram. Small chip needs repair before it spreads.,Low,2025-08-22
CLM00074,"Backed into pole in parking lot on 309 days ago at Medford Shopping Center. 2018 Jeep Wrangler has dent in tail light. My fault, estimated repair cost $3,500.",Medium,2024-11-30
CLM00075,Tire damage from pothole on Spring St on 04/19/2025. 2020 Subaru Outback. Tire needs replacement.,Low,2025-04-19
CLM00076,"Backed into pole in parking lot on 213 days ago at Malden Parking Garage. 2022 Acura MDX has dent in windshield. My fault, estimated repair cost $3,500.",Medium,2025-03-06
CLM00077,Small dent from hail storm on 01/23/2025. 2019 Nissan Altima parked at Lowell Parking Garage. driver side door affected.,Low,2025-01-23
CLM00078,Small scratch along driver side door noticed on 12/19/2024. Unknown cause. 2018 Jeep Wrangler parked at Lowell Plaza.,Low,2024-12-19
CLM00079,Small scratch along front bumper noticed on 01/26/2025. Unknown cause. 2020 Kia Sorento parked at Worcester Mall.,Low,2025-01-26
CLM00080,"Minor parking lot incident on January 14, 2025. Small scratch on front bumper of my 2022 Acura MDX. No injuries. Other party left contact information.",Low,2025-01-14
CLM00081,"Minor parking lot incident on January 21, 2025. Small scratch on front bumper of my 2020 Kia Sorento. No injuries. Other party left contact information.",Low,2025-01-21
CLM00082,Small scratch along driver side door noticed on 264 days ago. Unknown cause. 2022 BMW X5 parked at Cambridge Plaza.,Low,2025-01-14
CLM00083,Fender bender on 79 days ago at Union Street in Malden. 2021 Volkswagen Jetta damage to rear bumper. Both drivers remained at scene.,Medium,2025-07-18
CLM00084,Broken tail light discovered on 12/14/2024 at Providence Plaza. Likely vandalism while parked. 2022 Mercedes-Benz C-Class.,Low,2024-12-14
CLM00085,Minor scrape on hood while parking on 338 days ago at Lynn Mall. 2020 Chevrolet Silverado. Paint transfer visible.,Low,2024-11-01
CLM00086,"Bird damage to paint on hood on 09/24/2025. 2020 Lexus RX. Etching visible, needs touch-up.",Low,2025-09-24
CLM00087,Tire damage from pothole on Spring St on 06/14/2025. 2020 Kia Sorento. Tire needs replacement.,Low,2025-06-14
CLM00088,Minor bumper contact in parking garage on 78 days ago. 2020 GMC Sierra. Both parties exchanged information.,Low,2025-07-19
CLM00089,Small dent from hail storm on 353 days ago. 2019 Honda Accord parked at Malden Parking Garage. tail light affected.,Low,2024-10-17
CLM00090,Tire damage from pothole on Lake Street on 251 days ago. 2018 Ford F-150. Tire needs replacement.,Low,2025-01-27
CLM00091,"Tire damage from pothole on Broadway on May 19, 2025. 2019 Hyundai Elantra. Tire needs replacement.",Low,2025-05-19
CLM00092,Windshield chip from road debris on 03/10/2025 while driving on Spring St. 2022 Mercedes-Benz C-Class. Small chip needs repair before it spreads.,Low,2025-03-10
CLM00093,"Bird damage to paint on hood on 12/27/2024. 2020 GMC Sierra. Etching visible, needs touch-up.",Low,2024-12-27
CLM00094,Tire damage from pothole on Oak Ave on 123 days ago. 2019 Nissan Altima. Tire needs replacement.,Low,2025-06-04
CLM00095,Tire damage from pothole on River Road on 236 days ago. 2020 Chevrolet Silverado. Tire needs replacement.,Low,2025-02-11
CLM00096,Hit by opening car door on 212 days ago at Brookline Plaza. Damage to front bumper of my 2021 Mazda CX-5. Other party admitted fault.,Medium,2025-03-07
CLM00097,Minor collision at stoplight on 178 days ago. 2020 Chevrolet Silverado bumped from behind. Damage to tail light.,Medium,2025-04-10
CLM00098,Vehicle damaged by shopping cart blown by wind on 216 days ago. 2021 Tesla Model 3 has dents on driver side door. Security footage available.,Medium,2025-03-03
CLM00099,Hit by opening car door on 32 days ago at Malden Plaza. Damage to rear bumper of my 2022 Mercedes-Benz C-Class. Other party admitted fault.,Medium,2025-09-03
CLM00100,"Backed into pole in parking lot on 02/27/2025 at Lynn Plaza. 2021 Volvo XC90 has dent in hood. My fault, estimated repair cost $3,500.",Medium,2025-02-27
CLM00101,"Small scratch along side mirror noticed on June 08, 2025. Unknown cause. 2021 Mazda CX-5 parked at Newton Parking Garage.",Low,2025-06-08
CLM00102,"Minor parking lot incident on November 30, 2024. Small scratch on headlight of my 2021 Tesla Model 3. No injuries. Other party left contact information.",Low,2024-11-30
CLM00103,Vehicle struck by falling branch during storm on 04/28/2025. 2020 Subaru Outback has damage to windshield and windshield. Tree maintenance company notified.,Medium,2025-04-28
CLM00104,Rear-ended at intersection of Oak Ave and Summer St in Lowell on 66 days ago. My 2018 Dodge Ram sustained moderate damage to fender. Police report filed.,Medium,2025-07-31
CLM00105,"Small scratch along front bumper noticed on August 09, 2025. Unknown cause. 2020 Toyota Camry parked at Boston Shopping Center.",Low,2025-08-09
CLM00106,"Bird damage to paint on hood on 04/21/2025. 2019 Honda Accord. Etching visible, needs touch-up.",Low,2025-04-21
CLM00107,"Minor parking lot incident on January 10, 2025. Small scratch on headlight of my 2021 Volvo XC90. No injuries. Other party left contact information.",Low,2025-01-10
CLM00108,"Side-swiped on highway near Waltham on December 13, 2024. 2021 Tesla Model 3 has damage to driver side door and front bumper. Other driver cited for unsafe lane change.",Medium,2024-12-13
CLM00109,Windshield chip from road debris on 36 days ago while driving on River Road. 2020 Chevrolet Silverado. Small chip needs repair before it spreads.,Low,2025-08-30
CLM00110,Minor collision at stoplight on 212 days ago. 2019 Infiniti Q50 bumped from behind. Damage to windshield.,Medium,2025-03-07
CLM00111,Collision with deer on Park Ave near Brookline on 330 days ago. 2020 GMC Sierra has front-end damage including headlight and hood. Police report available.,Medium,2024-11-09
CLM00112,"Vehicle struck by falling branch during storm on June 16, 2025. 2019 Audi A4 has damage to fender and windshield. Tree maintenance company notified.",Medium,2025-06-16
CLM00113,"Head-on collision on River Road near Quincy on September 10, 2025. 2021 Volkswagen Jetta sustained catastrophic front-end damage. Engine likely destroyed. Airbags deployed. Emergency services on scene. Vehicle total loss.",High,2025-09-10
CLM00114,"Tire damage from pothole on Spring St on November 20, 2024. 2019 Hyundai Elantra. Tire needs replacement.",Low,2024-11-20
CLM00115,Shopping cart dent on headlight at Malden shopping center on 7 days ago. 2022 Mercedes-Benz C-Class. Superficial damage only.,Low,2025-09-28
CLM00116,"Minor bumper contact in parking garage on March 15, 2025. 2020 Chevrolet Silverado. Both parties exchanged information.",Low,2025-03-15
CLM00117,Windshield chip from road debris on 225 days ago while driving on Park Ave. 2020 Lexus RX. Small chip needs repair before it spreads.,Low,2025-02-22
CLM00118,"Small scratch along passenger side noticed on May 27, 2025. Unknown cause. 2021 Mazda CX-5 parked at Malden Shopping Center.",Low,2025-05-27
CLM00119,Minor parking lot incident on 07/13/2025. Small scratch on hood of my 2020 Chevrolet Silverado. No injuries. Other party left contact information.,Low,2025-07-13
CLM00120,Minor scrape on side mirror while parking on 197 days ago at Brookline Shopping Center. 2018 Jeep Wrangler. Paint transfer visible.,Low,2025-03-22
CLM00121,Minor bumper contact in parking garage on 131 days ago. 2020 Lexus RX. Both parties exchanged information.,Low,2025-05-27
CLM00122,Minor collision at stoplight on 191 days ago. 2018 Jeep Wrangler bumped from behind. Damage to trunk.,Medium,2025-03-28
CLM00123,Small dent from hail storm on 307 days ago. 2019 Nissan Altima parked at Lowell Shopping Center. fender affected.,Low,2024-12-02
CLM00124,Minor collision at stoplight on 09/28/2025. 2018 Dodge Ram bumped from behind. Damage to front bumper.,Medium,2025-09-28
CLM00125,Minor bumper contact in parking garage on 132 days ago. 2022 Acura MDX. Both parties exchanged information.,Low,2025-05-26
CLM00126,"Backed into pole in parking lot on January 07, 2025 at Cambridge Shopping Center. 2019 Infiniti Q50 has dent in trunk. My fault, estimated repair cost $3,500.",Medium,2025-01-07
CLM00127,"Shopping cart dent on side mirror at Springfield shopping center on May 04, 2025. 2020 Lexus RX. Superficial damage only.",Low,2025-05-04
CLM00128,"Windshield chip from road debris on December 29, 2024 while driving on Washington Blvd. 2019 Infiniti Q50. Small chip needs repair before it spreads.",Low,2024-12-29
CLM00129,Side-swiped on highway near Brookline on 06/22/2025. 2019 Audi A4 has damage to driver side door and quarter panel. Other driver cited for unsafe lane change.,Medium,2025-06-22
CLM00130,"Bird damage to paint on hood on 161 days ago. 2021 Volkswagen Jetta. Etching visible, needs touch-up.",Low,2025-04-27
CLM00131,Broken hood discovered on 12/23/2024 at Providence Plaza. Likely vandalism while parked. 2021 Mazda CX-5.,Low,2024-12-23
CLM00132,Hit and run while parked on 05/11/2025 at Worcester Mall. 2020 Lexus RX has significant damage to front bumper. Witnesses provided partial plate number.,Medium,2025-05-11
CLM00133,"URGENT: Major collision on 237 days ago at Broadway and Church St in Hartford. My 2021 Tesla Model 3 was hit by driver who ran red light. Extensive damage to driver side door, rear bumper, and passenger side. Airbags deployed. Multiple injuries. Police and ambulance responded. Need immediate assistance.",High,2025-02-10
CLM00134,Fender bender on 02/14/2025 at Broadway in Hartford. 2022 Mercedes-Benz C-Class damage to headlight. Both drivers remained at scene.,Medium,2025-02-14
CLM00135,Rear-ended at intersection of Pleasant St and Main St in Quincy on 11/25/2024. My 2019 Infiniti Q50 sustained moderate damage to headlight. Police report filed.,Medium,2024-11-25
CLM00136,Shopping cart dent on front bumper at Cambridge shopping center on 07/31/2025. 2019 Infiniti Q50. Superficial damage only.,Low,2025-07-31
CLM00137,"Backed into pole in parking lot on 84 days ago at Worcester Mall. 2022 Acura MDX has dent in side mirror. My fault, estimated repair cost $3,500.",Medium,2025-07-13
CLM00138,Small scratch along front bumper noticed on 01/17/2025. Unknown cause. 2019 Nissan Altima parked at Waltham Mall.,Low,2025-01-17
CLM00139,Vehicle damaged by shopping cart blown by wind on 137 days ago. 2021 Volvo XC90 has dents on rear bumper. Security footage available.,Medium,2025-05-21
CLM00140,Shopping cart dent on quarter panel at Quincy shopping center on 08/28/2025. 2020 Lexus RX. Superficial damage only.,Low,2025-08-28
CLM00141,Minor collision at stoplight on 205 days ago. 2020 Lexus RX bumped from behind. Damage to headlight.,Medium,2025-03-14
CLM00142,Fender bender on 62 days ago at Cedar Lane in Providence. 2020 Chevrolet Silverado damage to tail light. Both drivers remained at scene.,Medium,2025-08-04
CLM00143,Hit by opening car door on 05/28/2025 at Hartford Plaza. Damage to headlight of my 2019 Nissan Altima. Other party admitted fault.,Medium,2025-05-28
CLM00144,Small dent from hail storm on 04/17/2025. 2022 Acura MDX parked at Newton Mall. driver side door affected.,Low,2025-04-17
CLM00145,Small scratch along tail light noticed on 300 days ago. Unknown cause. 2022 Acura MDX parked at Brookline Shopping Center.,Low,2024-12-09
CLM00146,"Backed into pole in parking lot on 344 days ago at Newton Mall. 2022 Acura MDX has dent in tail light. My fault, estimated repair cost $3,500.",Medium,2024-10-26
CLM00147,Side-swiped on highway near Lowell on 128 days ago. 2020 GMC Sierra has damage to front bumper and trunk. Other driver cited for unsafe lane change.,Medium,2025-05-30
CLM00148,"Bird damage to paint on hood on 43 days ago. 2020 Subaru Outback. Etching visible, needs touch-up.",Low,2025-08-23
CLM00149,Tire damage from pothole on Lake Street on 247 days ago. 2021 Mazda CX-5. Tire needs replacement.,Low,2025-01-31
CLM00150,Minor collision at stoplight on 09/06/2025. 2021 Mazda CX-5 bumped from behind. Damage to front bumper.,Medium,2025-09-06
CLM00151,"Side-swiped on highway near Medford on July 19, 2025. 2018 Jeep Wrangler has damage to trunk and passenger side. Other driver cited for unsafe lane change.",Medium,2025-07-19
CLM00152,Windshield chip from road debris on 06/20/2025 while driving on Pleasant St. 2021 Mazda CX-5. Small chip needs repair before it spreads.,Low,2025-06-20
CLM00153,Small scratch along front bumper noticed on 63 days ago. Unknown cause. 2020 Subaru Outback parked at Lowell Mall.,Low,2025-08-03
CLM00154,"Vehicle struck by falling branch during storm on April 20, 2025. 2019 Hyundai Elantra has damage to headlight and windshield. Tree maintenance company notified.",Medium,2025-04-20
CLM00155,Broken passenger side discovered on 173 days ago at Brookline Shopping Center. Likely vandalism while parked. 2018 Dodge Ram.,Low,2025-04-15
CLM00156,"Bird damage to paint on hood on April 30, 2025. 2022 Mercedes-Benz C-Class. Etching visible, needs touch-up.",Low,2025-04-30
CLM00157,Minor bumper contact in parking garage on 185 days ago. 2021 Tesla Model 3. Both parties exchanged information.,Low,2025-04-03
CLM00158,Minor bumper contact in parking garage on 01/31/2025. 2022 Mercedes-Benz C-Class. Both parties exchanged information.,Low,2025-01-31
CLM00159,"Vehicle struck by falling branch during storm on June 25, 2025. 2022 Acura MDX has damage to driver side door and windshield. Tree maintenance company notified.",Medium,2025-06-25
CLM00160,Windshield chip from road debris on 01/31/2025 while driving on Spring St. 2020 Subaru Outback. Small chip needs repair before it spreads.,Low,2025-01-31
CLM00161,Minor scrape on driver side door while parking on 08/28/2025 at Lynn Shopping Center. 2020 Kia Sorento. Paint transfer visible.,Low,2025-08-28
CLM00162,Small scratch along tail light noticed on 02/01/2025. Unknown cause. 2020 Kia Sorento parked at Quincy Mall.,Low,2025-02-01
CLM00163,Tire damage from pothole on Park Ave on 360 days ago. 2020 Chevrolet Silverado. Tire needs replacement.,Low,2024-10-10
CLM00164,"Small dent from hail storm on August 24, 2025. 2018 Jeep Wrangler parked at Brookline Plaza. windshield affected.",Low,2025-08-24
CLM00165,Collision with deer on Lake Street near Lynn on 318 days ago. 2022 Mercedes-Benz C-Class has front-end damage including headlight and windshield. Police report available.,Medium,2024-11-21
CLM00166,"Small scratch along hood noticed on February 17, 2025. Unknown cause. 2019 Nissan Altima parked at Malden Parking Garage.",Low,2025-02-17
CLM00167,"Small dent from hail storm on January 18, 2025. 2021 Mazda CX-5 parked at Medford Plaza. quarter panel affected.",Low,2025-01-18
CLM00168,Minor scrape on front bumper while parking on 313 days ago at Providence Shopping Center. 2022 Acura MDX. Paint transfer visible.,Low,2024-11-26
CLM00169,Shopping cart dent on rear bumper at Providence shopping center on 34 days ago. 2021 Volkswagen Jetta. Superficial damage only.,Low,2025-09-01
CLM00170,Hit and run while parked on 154 days ago at Medford Shopping Center. 2021 Tesla Model 3 has significant damage to tail light. Witnesses provided partial plate number.,Medium,2025-05-04
CLM00171,Minor bumper contact in parking garage on 07/06/2025. 2021 Volkswagen Jetta. Both parties exchanged information.,Low,2025-07-06
CLM00172,"Severe accident on highway near Boston on December 18, 2024. 2020 Subaru Outback struck by semi-truck. Major damage to entire front bumper side. Vehicle towed from scene. Hospital treatment required. Police report number RPT474879.",High,2024-12-18
CLM00173,URGENT: 2019 Audi A4 stolen from Malden Mall on 165 days ago. Vehicle found abandoned three days later with severe damage. passenger side and headlight destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.,High,2025-04-23
CLM00174,"My 2021 Volkswagen Jetta was struck by drunk driver on 02/18/2025 at Boston Shopping Center. Extensive damage to side mirror, fender, and frame. Police arrested other driver at scene. Vehicle likely totaled. Injuries sustained.",High,2025-02-18
CLM00175,"Broken side mirror discovered on May 13, 2025 at Hartford Mall. Likely vandalism while parked. 2020 Toyota Camry.",Low,2025-05-13
CLM00176,"Bird damage to paint on hood on 08/17/2025. 2018 Jeep Wrangler. Etching visible, needs touch-up.",Low,2025-08-17
CLM00177,Shopping cart dent on driver side door at Medford shopping center on 112 days ago. 2019 Infiniti Q50. Superficial damage only.,Low,2025-06-15
CLM00178,"Hit and run while parked on June 24, 2025 at Waltham Mall. 2020 Subaru Outback has significant damage to tail light. Witnesses provided partial plate number.",Medium,2025-06-24
CLM00179,Small dent from hail storm on 06/19/2025. 2019 Hyundai Elantra parked at Boston Shopping Center. fender affected.,Low,2025-06-19
CLM00180,Vehicle struck by falling branch during storm on 10/16/2024. 2020 Subaru Outback has damage to headlight and windshield. Tree maintenance company notified.,Medium,2024-10-16
CLM00181,Tire damage from pothole on Lake Street on 302 days ago. 2021 Volkswagen Jetta. Tire needs replacement.,Low,2024-12-07
CLM00182,"Minor parking lot incident on February 27, 2025. Small scratch on tail light of my 2020 Subaru Outback. No injuries. Other party left contact information.",Low,2025-02-27
CLM00183,"Shopping cart dent on front bumper at Malden shopping center on April 05, 2025. 2021 Volkswagen Jetta. Superficial damage only.",Low,2025-04-05
CLM00184,"Minor parking lot incident on June 10, 2025. Small scratch on headlight of my 2019 Nissan Altima. No injuries. Other party left contact information.",Low,2025-06-10
CLM00185,"Small scratch along rear bumper noticed on August 13, 2025. Unknown cause. 2019 Hyundai Elantra parked at Malden Shopping Center.",Low,2025-08-13
CLM00186,"Minor scrape on headlight while parking on June 28, 2025 at Quincy Shopping Center. 2018 Dodge Ram. Paint transfer visible.",Low,2025-06-28
CLM00187,Minor collision at stoplight on 03/06/2025. 2020 Lexus RX bumped from behind. Damage to quarter panel.,Medium,2025-03-06
CLM00188,URGENT: 2022 BMW X5 stolen from Medford Plaza on 05/04/2025. Vehicle found abandoned three days later with severe damage. front bumper and passenger side destroyed. Interior vandalized. Police report filed. Recovery investigation ongoing.,High,2025-05-04
CLM00189,"Minor collision at stoplight on February 03, 2025. 2019 Nissan Altima bumped from behind. Damage to windshield.",Medium,2025-02-03
CLM00190,Vehicle struck by falling branch during storm on 06/22/2025. 2019 Audi A4 has damage to tail light and windshield. Tree maintenance company notified.,Medium,2025-06-22
